agent,evidence_scope,clean_success,clean_success_ci95,intervention_success,intervention_success_ci95,absolute_degradation,relative_degradation,acrs,acrs_ci95,tool_precision,required_tool_recall,invalid_tool_call_rate,unnecessary_tool_call_rate,recovery_rate,contradiction_resolution,memory_verification,premature_stop_rate,avg_steps,avg_latency_s,avg_cost_per_task_usd,avg_model_calls_per_task,avg_tool_calls_per_task,cost_normalized_success,cost_normalized_acrs,latency_normalized_success,latency_normalized_acrs,estimated_cost_usd,run_dir,config_hash,seed,dataset_version,model_ids,scorer_versions,git_commit,timestamp
direct_tool_local_stub,pilot_stub_engineering_only,0.0,"[0.000, 0.000]",0.0,"[0.000, 0.000]",0.0,,,,0.975,0.32,0.0,0.025,0.0,0.0,0.0,1.0,2.0,4.2e-05,,,,,,,,0.0,results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
greedy_tool_agent,pilot_stub_engineering_only,0.0,"[0.000, 0.000]",0.0,"[0.000, 0.000]",0.0,,,,0.983333,0.617083,0.0,0.0,0.5625,0.0,0.0,0.725,2.883333,,,,,,,,,0.0,results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
planner_executor_local_stub,pilot_stub_engineering_only,0.0,"[0.000, 0.000]",0.0,"[0.000, 0.000]",0.0,,,,0.975,0.32,0.0,0.025,0.0,0.0,0.0,1.0,2.0,5.3e-05,,,,,,,,0.0,results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
react_stub_agent,pilot_stub_engineering_only,0.0,"[0.000, 0.000]",0.0,"[0.000, 0.000]",0.0,,,,0.983333,0.631667,0.0,0.0,0.6875,0.0,0.0,0.691667,2.925,,,,,,,,,0.0,results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
self_check_local_stub,pilot_stub_engineering_only,0.0,"[0.000, 0.000]",0.0,"[0.000, 0.000]",0.0,,,,0.975,0.32,0.0,0.025,0.0,0.0,0.0,1.0,2.0,6.5e-05,,,,,,,,0.0,results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
